ID,WoWFocus,What is your biological sex,Please indicate your current age by selecting the appropriate age range.,Please indicate your ethnicity:,How many years have you been playing video games? ,"How many separate game sessions do you play each day? (e.g., playing several rounds of a game bef...",How long does your typical gaming session last?,What percentage of your video game time do you estimate is spent playing multiplayer online games?,How many years have you played World of Warcraft? (please include time playing any expansions or...,"Please indicate whether you have played World of Warcraft consistently, or whether you tend to ta...",Please indicate your preferred World of Warcraft play-style,Please indicate the number of different characters you have created and played as in World of War...,The following section will ask you to respond to a few questions about the choices that you make...,Faction,Race,RaceShort,Class,ClassShort,Role,,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,,Advancement,Mechanics,Competition,Socializing,Relationship,Teamwork,Discovery,Roleplaying,Customization,Escapism
11,0,2,2,1,4,3,5,6,4,3,1,3,,1,9,2,5,3,3,,3.90,2.80,1.70,1.60,0.70,,4.10,2.70,1.80,3.60,1.30,3.60,2.40,3.40,3.00,3.50
12,0,1,2,1,4,2,6,5,3,2,1,2,,2,4,1,7,1,1,,0.60,1.70,0.60,0.90,0.60,,4.40,1.80,1.10,3.40,2.00,3.20,1.80,2.30,2.70,4.30
13,0,1,1,5,5,4,6,6,4,1,1,2,,1,5,4,6,2,2,,2.10,2.00,1.40,2.90,0.70,,3.30,1.60,1.60,4.40,1.70,3.60,2.30,3.70,3.30,3.60
14,0,2,1,1,5,4,5,5,4,1,2,1,,2,6,3,4,4,3,,2.30,3.20,1.10,2.50,0.60,,4.60,1.30,1.70,4.10,1.70,3.40,2.50,3.30,3.10,3.90
15,0,2,1,1,6,4,5,4,4,2,2,1,,1,3,2,3,2,4,,2.50,2.40,1.80,2.30,2.40,,4.10,1.80,1.60,2.10,1.90,3.40,2.60,0.80,3.20,4.60
16,0,2,1,5,6,3,4,5,4,3,3,2,,2,2,3,1,3,3,,3.40,1.80,1.50,1.40,2.10,,4.30,2.90,1.80,3.40,1.20,3.70,1.30,1.80,2.80,4.60
17,0,2,1,5,6,2,5,6,5,2,2,2,,1,1,1,2,4,4,,3.00,2.80,1.80,1.30,2.50,,4.60,1.60,1.80,1.50,1.60,3.10,2.90,1.40,2.80,3.60
18,0,2,1,5,5,2,6,4,5,2,1,1,,1,8,3,5,3,3,,2.60,1.50,2.50,1.50,2.40,,4.70,2.00,1.40,3.70,0.90,3.60,1.60,2.40,3.00,4.60
19,0,1,1,1,5,2,7,5,3,2,2,1,,1,7,4,3,2,4,,3.90,0.30,0.90,1.70,1.30,,4.60,1.40,1.70,4.20,2.10,2.90,2.10,2.30,2.70,3.70
20,0,1,2,7,5,2,6,6,3,1,3,3,,1,5,2,6,2,3,,2.00,1.70,1.60,1.40,2.90,,2.90,1.90,1.20,2.90,1.10,3.10,1.90,2.20,2.90,3.50
21,0,1,2,7,4,3,7,5,4,2,2,3,,2,6,1,4,1,2,,2.60,1.50,1.50,0.70,2.40,,3.90,2.70,1.40,2.60,0.40,3.60,2.80,3.00,2.80,4.50
22,0,2,2,3,4,3,7,4,3,1,2,2,,2,9,3,7,1,4,,1.60,0.90,1.10,1.40,0.60,,3.60,1.40,1.10,3.80,1.70,3.40,1.00,2.90,3.10,4.00
23,0,1,2,3,4,3,5,5,4,1,1,1,,1,3,4,8,2,3,,1.90,2.00,1.60,0.60,2.60,,4.70,1.00,2.10,3.70,0.90,2.70,1.70,2.70,3.10,3.40
24,0,2,2,1,5,2,5,6,5,2,1,1,,1,2,1,5,3,2,,2.30,3.00,1.50,3.70,0.50,,3.80,2.40,1.30,2.80,1.60,3.60,3.20,1.60,3.10,3.70
25,1,1,1,2,5,2,6,5,4,2,2,2,,2,1,2,2,3,1,,1.10,2.10,2.10,2.50,1.80,,3.90,1.70,1.70,3.20,1.20,3.30,2.20,2.10,3.50,4.00
26,1,2,2,3,5,2,7,4,5,3,2,3,,2,11,3,4,4,2,,2.90,0.90,1.70,1.50,0.70,,3.70,1.60,1.40,2.50,1.60,3.00,4.00,2.40,2.60,4.90
27,1,1,1,1,6,2,7,5,4,3,1,3,,2,10,4,5,3,3,,2.50,2.60,1.60,2.30,0.70,,4.10,1.50,1.80,2.90,0.50,3.30,0.50,3.10,3.00,4.70
28,1,1,2,1,6,3,6,5,3,3,1,2,,2,1,3,3,2,2,,2.00,1.70,0.60,2.70,1.00,,4.40,2.20,1.20,4.30,1.20,3.50,4.60,1.40,3.30,3.80
29,1,1,1,5,6,2,5,6,4,3,1,1,,1,6,2,6,1,4,,2.70,0.20,2.00,1.20,0.90,,3.20,2.30,1.60,3.10,2.10,3.10,2.30,2.00,2.70,3.80
30,1,1,1,5,6,3,4,6,5,4,2,2,,2,4,3,8,3,2,,3.10,1.20,1.60,1.90,3.00,,3.70,2.20,1.40,3.10,1.40,2.90,1.50,2.40,2.80,4.30
31,1,1,1,1,6,2,5,6,4,3,2,2,,1,8,2,7,4,2,,2.40,3.30,1.60,2.40,0.10,,4.90,1.90,1.00,4.20,1.00,2.80,2.80,2.90,2.50,3.80
32,1,1,1,1,5,4,5,6,3,2,3,3,,2,12,3,8,1,3,,2.40,1.50,1.90,1.50,0.30,,4.00,2.70,1.10,3.70,1.20,3.40,2.10,3.20,2.90,3.70
33,1,1,2,1,5,4,4,5,4,1,3,3,,2,8,2,7,2,3,,1.20,3.00,2.40,2.10,0.60,,4.80,1.90,1.50,3.80,1.60,3.40,3.30,0.20,3.10,3.40
34,1,2,2,1,5,2,4,5,5,2,2,2,,2,6,3,2,3,3,,2.10,1.90,1.30,3.80,0.80,,3.80,1.10,0.80,3.70,0.90,3.00,0.60,1.40,2.50,4.00
35,1,1,2,2,5,2,5,5,3,2,1,1,,2,11,1,6,4,1,,2.50,1.10,2.20,2.40,2.00,,3.50,2.20,1.60,4.20,1.30,3.20,2.40,3.30,2.10,4.90
36,1,2,2,1,4,3,6,4,2,3,1,1,,2,9,2,4,3,2,,1.60,2.80,2.00,3.30,2.70,,3.40,1.90,2.00,3.40,1.10,4.10,3.90,1.90,2.70,3.60
37,1,2,2,1,4,4,5,4,3,3,1,1,,1,7,1,3,2,4,,2.10,0.90,2.00,2.90,1.90,,3.90,3.00,1.00,2.80,1.80,3.00,2.00,2.70,2.80,4.70
38,1,2,3,2,5,3,6,4,2,2,2,1,,1,10,2,1,1,2,,3.10,2.20,1.70,2.50,1.10,,3.50,0.40,1.30,3.80,1.50,2.70,3.50,3.40,2.70,3.80
39,1,1,3,3,5,2,7,6,3,1,2,2,,1,10,1,7,3,1,,2.30,2.40,2.10,1.20,1.40,,4.20,2.10,1.40,3.20,1.70,4.00,2.30,2.30,2.90,3.40
40,1,1,2,2,6,3,6,6,2,2,1,3,,1,10,3,5,4,2,,2.70,1.90,2.00,3.70,2.10,,3.90,1.70,1.20,1.60,2.30,3.40,1.90,2.90,2.80,3.40
41,1,1,2,2,6,4,6,6,3,3,1,3,,2,1,1,6,3,4,,1.60,0.20,1.20,1.20,1.90,,3.90,2.00,1.50,4.00,1.40,3.40,4.10,0.80,2.80,3.50
42,1,1,2,3,6,4,7,5,4,3,2,3,,2,3,3,3,2,4,,3.10,0.70,2.50,3.90,2.50,,3.60,1.50,1.90,3.20,1.20,2.90,2.60,2.30,2.90,3.70
43,1,2,2,5,5,3,7,4,5,3,2,2,,2,7,4,4,1,2,,3.20,1.80,2.00,0.80,0.30,,4.80,1.60,1.50,3.60,1.10,3.10,2.20,2.30,2.60,4.40
44,1,1,2,5,5,2,7,4,4,2,2,1,,2,8,1,5,4,3,,2.50,1.80,1.70,3.00,1.30,,3.50,3.60,1.20,2.40,0.90,3.40,3.30,3.00,2.70,3.70
45,1,2,1,5,6,3,7,4,3,2,2,2,,2,5,3,8,2,3,,1.10,0.50,1.40,3.10,2.50,,4.30,3.10,1.60,3.30,1.90,3.10,2.90,2.40,3.00,4.10
46,1,2,1,5,5,4,6,5,2,3,2,2,,1,9,4,2,4,1,,2.80,2.20,2.40,1.90,0.90,,4.60,2.40,1.90,3.70,2.10,3.70,2.10,2.70,2.80,4.10
47,1,2,1,6,6,4,6,6,3,4,1,3,,1,6,3,6,2,2,,1.60,0.90,1.90,1.40,2.10,,4.10,2.80,1.20,2.10,1.40,3.30,1.10,1.70,2.40,3.40
48,1,1,1,6,5,3,7,5,4,4,1,2,,2,4,4,3,3,2,,3.20,2.80,1.50,2.50,1.00,,3.80,1.80,2.00,2.30,1.60,3.20,1.90,2.80,2.80,4.20
49,1,1,2,6,4,2,5,5,5,3,1,2,,1,5,3,4,1,3,,2.30,2.50,2.20,2.50,1.00,,4.60,1.60,1.90,4.10,2.00,3.60,1.90,3.90,3.00,3.50
